Model,Max Model Len,Quantization,Precision,Dtype,Size,Prefix Caching,Env,VLLM Version,Status,Datetime,1k Tok Avg Time,2k Tok Avg Time,4k Tok Avg Time,Error,8k Tok Avg Time,12k Tok Avg Time,7k Tok Avg Time
Llama3.1,,,,,,False,QA,0.9.2,error-exception,2025-09-08 16:08:46,,,,,,,
Qwen 2.5,,,,,,False,QA,0.9.2,error-exception,2025-09-08 16:08:46,,,,,,,
Llama3,,,,,,False,QA,0.9.2,error-exception,2025-09-08 16:08:46,,,,,,,
Qwen 2.5,,,,,,False,QA,0.9.2,error-exception,2025-09-08 16:10:41,,,,,,,
Llama3,,,,,,False,QA,0.9.2,error-exception,2025-09-08 16:10:41,,,,,,,
Llama3.1,,,,,,False,QA,0.9.2,error-exception,2025-09-08 16:10:41,,,,,,,
Qwen 2.5,,,,,,False,QA,0.9.2,error-exception,2025-09-08 16:11:28,,,,,,,
Llama3.1,,,,,,False,QA,0.9.2,error-exception,2025-09-08 16:11:28,,,,,,,
Llama3,,,,,,False,QA,0.9.2,error-exception,2025-09-08 16:11:28,,,,,,,
Model,Max Model Len,Quantization,Precision,Dtype,Size,Prefix Caching,Env,VLLM Version,Status,Datetime,1k Tok Avg Time,2k Tok Avg Time,4k Tok Avg Time,Error,,,
Llama3,,,,,,False,QA,0.9.2,success,2025-09-08 16:13:23,"{'Avg_Exec_Time': 13, 'Avg_prompt_tokens': 1196, 'Avg_completion_tokens': 373}","{'Avg_Exec_Time': 12, 'Avg_prompt_tokens': 2084, 'Avg_completion_tokens': 331}","{'Avg_Exec_Time': 17, 'Avg_prompt_tokens': 4045, 'Avg_completion_tokens': 384}",,,,
Llama3.1,,,,,,False,QA,0.9.2,success,2025-09-08 16:13:33,"{'Avg_Exec_Time': 14, 'Avg_prompt_tokens': 1196, 'Avg_completion_tokens': 358}","{'Avg_Exec_Time': 15, 'Avg_prompt_tokens': 2084, 'Avg_completion_tokens': 380}","{'Avg_Exec_Time': 18, 'Avg_prompt_tokens': 4045, 'Avg_completion_tokens': 400}",,,,
Model,Max Model Len,Quantization,Precision,Dtype,Size,Prefix Caching,Env,VLLM Version,Status,Datetime,1k Tok Avg Time,2k Tok Avg Time,4k Tok Avg Time,Error,8k Tok Avg Time,12k Tok Avg Time,
Qwen 2.5,,,,,,False,QA,0.9.2,success,2025-09-08 16:15:46,"{'Avg_Exec_Time': 15, 'Avg_prompt_tokens': 1227, 'Avg_completion_tokens': 488}","{'Avg_Exec_Time': 17, 'Avg_prompt_tokens': 2131, 'Avg_completion_tokens': 510}","{'Avg_Exec_Time': 20, 'Avg_prompt_tokens': 4125, 'Avg_completion_tokens': 538}",,"{'Avg_Exec_Time': 35, 'Avg_prompt_tokens': 12165, 'Avg_completion_tokens': 610}","{'Avg_Exec_Time': 35, 'Avg_prompt_tokens': 12165, 'Avg_completion_tokens': 610}",
Qwen 2,,,,,,False,QA,0.9.2,timeout,2025-09-08 16:18:48,,,,,,,
Qwen 2,,,,,,False,QA,0.9.2,timeout,2025-09-08 16:20:44,,,,,,,
Qwen 2,,,,,,False,QA,0.9.2,timeout,2025-09-08 16:21:30,,,,,,,
Qwen 2,,,,,,False,QA,0.9.2,timeout,2025-09-08 16:21:55,,,,,,,
Llama3,,,,,,False,QA,0.9.2,success,2025-09-08 16:22:21,"{'Avg_Exec_Time': 13, 'Avg_prompt_tokens': 1196, 'Avg_completion_tokens': 373}","{'Avg_Exec_Time': 12, 'Avg_prompt_tokens': 2084, 'Avg_completion_tokens': 331}","{'Avg_Exec_Time': 17, 'Avg_prompt_tokens': 4045, 'Avg_completion_tokens': 384}",,,,
Llama3.1,,,,,,False,QA,0.9.2,success,2025-09-08 16:22:30,"{'Avg_Exec_Time': 14, 'Avg_prompt_tokens': 1196, 'Avg_completion_tokens': 358}","{'Avg_Exec_Time': 15, 'Avg_prompt_tokens': 2084, 'Avg_completion_tokens': 380}","{'Avg_Exec_Time': 18, 'Avg_prompt_tokens': 4045, 'Avg_completion_tokens': 400}",,,,
Qwen 2.5,,,,,,False,QA,0.9.2,success,2025-09-08 16:24:54,"{'Avg_Exec_Time': 16, 'Avg_prompt_tokens': 1227, 'Avg_completion_tokens': 518}","{'Avg_Exec_Time': 17, 'Avg_prompt_tokens': 2131, 'Avg_completion_tokens': 510}","{'Avg_Exec_Time': 24, 'Avg_prompt_tokens': 4125, 'Avg_completion_tokens': 636}",,"{'Avg_Exec_Time': 37, 'Avg_prompt_tokens': 12165, 'Avg_completion_tokens': 632}","{'Avg_Exec_Time': 37, 'Avg_prompt_tokens': 12165, 'Avg_completion_tokens': 632}",
Qwen 2,,,,,,False,QA,0.9.2,timeout,2025-09-08 16:30:52,,,,,,,
Qwen 2.5 VL,,,,,,False,QA,0.9.2,timeout,2025-09-08 16:30:52,,,,,,,
Llama3.1,,,,,,False,QA,0.9.2,success,2025-09-09 09:20:39,"{'Avg_Exec_Time': 14, 'Avg_prompt_tokens': 1196, 'Avg_completion_tokens': 358}","{'Avg_Exec_Time': 15, 'Avg_prompt_tokens': 2084, 'Avg_completion_tokens': 380}","{'Avg_Exec_Time': 18, 'Avg_prompt_tokens': 4045, 'Avg_completion_tokens': 382}",,,,
Llama3.1,,,,,,False,QA,0.9.2,success,2025-09-09 09:22:32,"{'Avg_Exec_Time': 17, 'Avg_prompt_tokens': 1196, 'Avg_completion_tokens': 358}","{'Avg_Exec_Time': 19, 'Avg_prompt_tokens': 2084, 'Avg_completion_tokens': 369}","{'Avg_Exec_Time': 18, 'Avg_prompt_tokens': 4045, 'Avg_completion_tokens': 382}",,,,
